CATEGORY,ASIN,NAME,ORIGINAL_PRICE,URL,SALE_PRICE,AVAILABILITY,RANK
Home & Kitchen > Bath > Bath Rugs,B01CA1856W,"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") Light Yellow",$19.99,http://www.amazon.com/dp/B01CA1856W,$19.99,In Stock.,"#975,378 in Home and Kitchen ()#3,179 in  >  >"
Home & Kitchen > Bath > Bath Rugs,B01CA1DLSY,"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") Sky Blue",,http://www.amazon.com/dp/B01CA1DLSY,,"Currently unavailable.
        
        
    
    

    
    
         
        
        
            We don't know when or if this item will be back in stock.","#817,169 in Home and Kitchen ()#2,622 in  >  >"
Home & Kitchen > Bath > Bath Rugs,B01CA1IGRU,"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") Beige",$22.06,http://www.amazon.com/dp/B01CA1IGRU,$22.06,In stock.,"#1,090,617 in Home and Kitchen ()#3,587 in  >  >"
Home & Kitchen > Bath > Bath Rugs,B01CA1LUTG,"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") White",$22.06,http://www.amazon.com/dp/B01CA1LUTG,$22.06,In stock.,"#1,188,039 in Home and Kitchen ()#3,957 in  >  >"
Home & Kitchen > Bath > Bath Rugs,B01CA1OTMG,"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") White",$22.06,http://www.amazon.com/dp/B01CA1OTMG,$22.06,In stock.,"#1,188,039 in Home and Kitchen ()#3,957 in  >  >"
,B017EPG5RA,"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") Griffin Gray",$22.06,http://www.amazon.com/dp/B017EPG5RA,$22.06,In stock.,"#1,259,193 in Home and Kitchen ()"
Home & Kitchen > Bath > Bath Rugs,B01KYHNHIA,"Chardin home Arizona Reversible Bath Rug Set, Chocolate, 2 Piece",$19.99,http://www.amazon.com/dp/B01KYHNHIA,$19.99,Usually ships within 1 to 2 months.,
Home & Kitchen > Bath > Bath Rugs,B01CA3435W,"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Brown-Beige with Latex spray non-skid backing",$25.84,http://www.amazon.com/dp/B01CA3435W,$25.84,In stock.,"#1,783,753 in Home and Kitchen ()#6,066 in  >  >"
Home & Kitchen > Bath > Bath Rugs,B01CA3BNK0,"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Gray-Beige with Latex spray non-skid backing",$25.84,http://www.amazon.com/dp/B01CA3BNK0,$25.84,In stock.,"#527,436 in Home and Kitchen ()#1,662 in  >  >"
Home & Kitchen > Bath > Bath Rugs,B01CA3EJH4,"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Aqua Turquoise with Latex spray non-skid backing",$25.84,http://www.amazon.com/dp/B01CA3EJH4,$25.84,In stock.,"#1,622,150 in Home and Kitchen ()#5,512 in  >  >"
